rank,run_name,model,alpha,hit_at_5,recall_at_5,mrr_at_10,latency_seconds
1,hybrid_intfloat_e5_small_v2_alpha0_7,intfloat/e5-small-v2,0.7,0.68,0.68,0.3293,5.38
2,hybrid_BAAI_bge_small_en_v1_5_alpha0_7,BAAI/bge-small-en-v1.5,0.7,0.56,0.56,0.327,5.3
3,hybrid_BAAI_bge_small_en_v1_5_alpha0_5,BAAI/bge-small-en-v1.5,0.5,0.56,0.56,0.2717,5.36
4,hybrid_intfloat_e5_small_v2_alpha0_5,intfloat/e5-small-v2,0.5,0.6,0.6,0.2621,6.7
5,hybrid_BAAI_bge_small_en_v1_5_alpha0_3,BAAI/bge-small-en-v1.5,0.3,0.52,0.52,0.2348,5.45
6,hybrid_intfloat_e5_small_v2_alpha0_3,intfloat/e5-small-v2,0.3,0.52,0.52,0.2278,5.36
